,name,distance,mass,radius,Dwarf Star name,Dwarf Distance,solar mass,solar radius
0,Sun,0.000015813,1,1,SDSS J000013.54+255418.6 [de],46.1,0.0104546318273099,0.1017353699999999
1,Sirius,8.6,2.1,1.71,2MASS J00040288-6410358,192.0,0.01151065524421,0.1675036899999999
2,Canopus,310,15,71,2MASS J00242463-0158201,37.7,0.0103490294856199,0.11201167
3,Alpha Centauri,4.4,1.1,1.2,2MASS J00274197+0503417,236.0,0.0099266201188599,0.1479787199999999
4,Arcturus,37,1.1,26,2MASSW J0030300-145033,87.2,0.01710757935378,0.1007077399999999
5,Vega,25,2.2,2.7,2MASS J00332386-1521309 [de],131.0,0.0137283044196999,0.1469510899999999
6,Capella,43,2.6,12,2MASS J00345157+0523050,31.0,0.0099266201188599,0.0965972199999999
7,Rigel,860,23,78.9,2MASS 0036+1821,28.6,0.0151011348616699,0.0965972199999999
8,Procyon,11.4,1.5,1.9,2MASSW J0045214+163445,57.0,0.0103490294856199,0.16647606
9,Betelgeuse,0640[1],20,950,WISEP J004701.06+680352.1 [fr],40.0,0.0103490294856199,0.1335918999999999
10,Achernar,144,6.7,9.3,2MASS J00501994-3322402 [de],34.0,0.01710757935378,0.0965972199999999
11,Hadar,390,10.5,8.6,2MASS J00584253-0651239 [de],96.0,0.0102434271439299,0.1469510899999999
12,Altair,17,1.8,1.8,2MASSI J0103320+193536,70.0,0.0161571582785699,0.1007077399999999
13,Acrux,320,18,8.9,SDSSp J010752.33+004156.1 [de],51.0,0.01710757935378,0.1007077399999999
14,Aldebaran,65,1.5,44,2MASSI J0117474-340325 [de],163.0,0.0148899301782899,0.16647606
15,Antares,600,12,680,2MASS J01415823-4633574 [de],130.0,0.0104546318273099,0.16544843
16,Spica,260,11.43,7.47,SDSS J015141.69+124429.6,70.0,0.01140505290252,0.0996801099999999
17,Pollux,34,1.9,8.8,SDSS J020742.48+000056.2 [de],111.0,0.0102434271439299,0.0996801099999999
18,Fomalhaut,25,1.9,1.8,2MASS J02103857-3015313,101.0,0.0102434271439299,0.15722739
19,Deneb,"2,600",19,203,2MASS J02340093-6442068,155.0,0.0121442692943499,0.16647606
20,Mimosa,350,16,8.4,2MASS J02411151-0326587 [de],152.0,0.01752998872054,0.1448958299999999
21,Regulus,77,3.8,3.1,2MASS J02431371−2453298,35.0,0.0100322224605499,0.1017353699999999
22,Adhara,430,12.5,14,LP 771-21,53.0,0.0137283044196999,0.11098404
23,Shaula,700,14.5,8.8,Teegarden's star,12.578,0.0109826435357599,0.1305090099999999
24,Castor,52,2.8,2.4,2MASS J02535980+3206373,184.0,0.0151011348616699,0.1952496999999999
25,Gacrux,88,1.5,84,WISE J0254+0223,24.0,0.01108824587745,0.1952496999999999
26,Bellatrix,240,8.6,5.8,DEN 0255-4700,16.2,0.0399176851588199,0.0996801099999999
27,Elnath,130,5,4.2,2MASS J03185403-3421292 [de],45.0,0.0134114973946299,0.0996801099999999
28,Miaplacidus,110,3.5,6.8,2MASS J03205965+1854233,47.0,0.0139395091030799,0.1181774499999999
29,Alnilam,"2,000",32,42,2MASS J03231002-4631237,192.0,0.0100322224605499,0.17058658
30,Gamma Velorum,"1,100",9,6,SDSS J032553.17+042540.1,59.0,0.01151065524421,0.0976248499999999
31,Alnair,101,4,3.4,2MASS J03264225-2102057 [de],80.0,0.0133058950529399,0.1335918999999999
32,Alioth,81,2.9,4.2,2MASS J03284265+2302051 [de],98.0,0.0208036613129299,0.1007077399999999
33,Alnitak,1050,33,20,2MASS J03341218-4953322,27.0,0.0102434271439299,0.10687352
34,Dubhe,120,4.25,30,LP 944-20,20.9,0.0187972168208199,0.1469510899999999
35,Mirfak,590,8.5,68,2MASP J0345432+254023,88.0,0.0105602341689999,0.10790115
36,Wezen,"1,600",17,200,Teide 1,380.0,0.0109826435357599,0.3884441399999999
37,Sargas,270,5.7,26,2MASS J03510004-0052452,48.0,0.0105602341689999,0.1305090099999999
38,Kaus Australis,140,3.5,6.8,2MASS J03552337+1133437,29.8,0.0145731231532199,0.13564716
39,Avior,630,9,130,2MASS J04151954−0935066,18.6,0.0106658365106899,0.0976248499999999
40,Alkaid,104,6.1,3.4,2MASS J04285096-2253227 [de],85.0,0.0148899301782899,0.11201167
41,Menkalinan,81,2.39,2.77,2MASS J04351612-1606574,34.0,0.0159459535951899,0.1294813799999999
42,Atria,390,7,92,2MASS J04362788-4114465,142.0,0.0104546318273099,0.2024431099999999
43,Alhena,109,2.8,3.3,2MASS J04390101-2353083 [de],29.5,0.0106658365106899,0.0996801099999999
